"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Capacitance","Voltage","Material","Tolerance","Stock","Datasheet"
"C76928","6.3V 100nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0201","LCSC","C76928","Murata Electronics","GRM033R60J104KE19D","C0201","100nF","6.3V","X5R","±10%","2029599","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM033R60J104KE19D_C76928.pdf"
"C76934","10V 100nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0201","LCSC","C76934","Murata Electronics","GRM033R61A104KE15D","C0201","100nF","10V","X5R","±10%","1436000","https://datasheet.lcsc.com/lcsc/1811081532_Murata-Electronics-GRM033R61A104KE15D_C76934.pdf"
"C285111","6.3V 2.2uF X5R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","2.2uF","symbol:C0402","footprint:C0201","LCSC","C285111","FH (Guangdong Fenghua Advanced Tech)","0201X225M6R3NT","C0201","2.2uF","6.3V","X5R","±20%","1410900","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0201X225M6R3NT_C285111.pdf"
"C76935","10V 1uF X5R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0201","LCSC","C76935","Murata Electronics","GRM033R61A105ME44D","C0201","1uF","10V","X5R","±20%","1162300","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM033R61A105ME44D_C76935.pdf"
"C718252","25V 100nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0201","LCSC","C718252","YAGEO","CC0201KRX5R8BB104","C0201","100nF","25V","X5R","±10%","1045063","https://datasheet.lcsc.com/lcsc/2008131834_YAGEO-CC0201KRX5R8BB104_C718252.pdf"
"C76932","6.3V 220nF X5R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","220nF","symbol:C0402","footprint:C0201","LCSC","C76932","Murata Electronics","GRM033R60J224ME15D","C0201","220nF","6.3V","X5R","±20%","950103","https://datasheet.lcsc.com/lcsc/1811081533_Murata-Electronics-GRM033R60J224ME15D_C76932.pdf"
"C76930","6.3V 1uF X5R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0201","LCSC","C76930","Murata Electronics","GRM033R60J105MEA2D","C0201","1uF","6.3V","X5R","±20%","730700","https://datasheet.lcsc.com/lcsc/1811081531_Murata-Electronics-GRM033R60J105MEA2D_C76930.pdf"
"C467016","16V 100nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0201","LCSC","C467016","YAGEO","CC0201KRX5R7BB104","C0201","100nF","16V","X5R","±10%","697900","https://datasheet.lcsc.com/lcsc/2311211121_YAGEO-CC0201KRX5R7BB104_C467016.pdf"
"C307380","16V 100nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0201","LCSC","C307380","Samsung Electro-Mechanics","CL03A104KO3NNNC","C0201","100nF","16V","X5R","±10%","622313","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL03A104KO3NNNC_C307380.pdf"
"C5142565","10V 100nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0201","LCSC","C5142565","CCTC","TCC0201X5R104K100ZT","C0201","100nF","10V","X5R","±10%","542900","https://datasheet.lcsc.com/lcsc/2209011730_CCTC-TCC0201X5R104K100ZT_C5142565.pdf"
"C161494","10V 100nF X7R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0201","LCSC","C161494","Murata Electronics","GRM033Z71A104KE14D","C0201","100nF","10V","X7R","±10%","516300","https://datasheet.lcsc.com/lcsc/1912111437_Murata-Electronics-GRM033Z71A104KE14D_C161494.pdf"
"C76929","6.3V 1uF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0201","LCSC","C76929","Murata Electronics","GRM033R60J105KEA2D","C0201","1uF","6.3V","X5R","±10%","443900","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM033R60J105KEA2D_C76929.pdf"
"C335103","6.3V 4.7uF X5R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","4.7uF","symbol:C0402","footprint:C0201","LCSC","C335103","Murata Electronics","GRM035R60J475ME15D","C0201","4.7uF","6.3V","X5R","±20%","434862","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM035R60J475ME15D_C335103.pdf"
"C190183","10V 100nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0201","LCSC","C190183","YAGEO","CC0201KRX5R6BB104","C0201","100nF","10V","X5R","±10%","415100","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC0201KRX5R6BB104_C190183.pdf"
"C87143","6.3V 1uF X5R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1uF","symbol:C0402","footprint:C0201","LCSC","C87143","Taiyo Yuden","JMK063ABJ105MP-F","C0201","1uF","6.3V","X5R","±20%","371800","https://datasheet.lcsc.com/lcsc/2304140030_Taiyo-Yuden-JMK063ABJ105MP-F_C87143.pdf"
"C76941","10V 10nF X7R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10nF","symbol:C0402","footprint:C0201","LCSC","C76941","Murata Electronics","GRM033R71A103KA01D","C0201","10nF","10V","X7R","±10%","316200","https://datasheet.lcsc.com/lcsc/1811081513_Murata-Electronics-GRM033R71A103KA01D_C76941.pdf"
