"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Resistance","Power","Tolerance","Stock","Datasheet"
"C17888","250mW Thick Film Resistors 200V ±800ppm/℃ ±1% 0Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","0R","symbol:R0402","footprint:R1206","LCSC","C17888","UNI-ROYAL(Uniroyal Elec)","1206W4F0000T5E","C1206","0Ω","250mW","±1%","9982900","https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-1206W4F0000T5E_C17888.pdf"
"C4410","250mW Thick Film Resistors 200V ±1% 1kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","1K","symbol:R0402","footprint:R1206","LCSC","C4410","UNI-ROYAL(Uniroyal Elec)","1206W4F1001T5E","C1206","1kΩ","250mW","±1%","2184200","https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-1206W4F1001T5E_C4410.pdf"
"C17902","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 10kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R1206","LCSC","C17902","UNI-ROYAL(Uniroyal Elec)","1206W4F1002T5E","C1206","10kΩ","250mW","±1%","2079900","https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1002T5E_C17902.pdf"
"C17936","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 4.7kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","4K7","symbol:R0402","footprint:R1206","LCSC","C17936","UNI-ROYAL(Uniroyal Elec)","1206W4F4701T5E","C1206","4.7kΩ","250mW","±1%","1679300","https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F4701T5E_C17936.pdf"
"C3017283","250mW Thick Film Resistors 200V ±1% 19.1kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","19K1","symbol:R0402","footprint:R1206","LCSC","C3017283","VO","SCR1206F19K1","C1206","19.1kΩ","250mW","±1%","1374600","https://datasheet.lcsc.com/lcsc/2206021145_VO-SCR1206F19K1_C3017283.pdf"
"C3017285","250mW Thick Film Resistors 200V ±1% 14kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","14K","symbol:R0402","footprint:R1206","LCSC","C3017285","VO","SCR1206F14K","C1206","14kΩ","250mW","±1%","1191500","https://datasheet.lcsc.com/lcsc/2206021145_VO-SCR1206F14K_C3017285.pdf"
"C17901","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 100Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","100R","symbol:R0402","footprint:R1206","LCSC","C17901","UNI-ROYAL(Uniroyal Elec)","1206W4F1000T5E","C1206","100Ω","250mW","±1%","1080400","https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1000T5E_C17901.pdf"
"C3016971","250mW Thick Film Resistors 200V ±1% 143kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","143K","symbol:R0402","footprint:R1206","LCSC","C3016971","VO","SCR1206F143K","C1206","143kΩ","250mW","±1%","976800","https://datasheet.lcsc.com/lcsc/2206021200_VO-SCR1206F143K_C3016971.pdf"
"C17903","250mW Thick Film Resistors 200V ±1% ±400ppm/℃ 10Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","10R","symbol:R0402","footprint:R1206","LCSC","C17903","UNI-ROYAL(Uniroyal Elec)","1206W4F100JT5E","C1206","10Ω","250mW","±1%","837800","https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F100JT5E_C17903.pdf"
"C3017010","250mW Thick Film Resistors 200V ±1% 8.06kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","8K06","symbol:R0402","footprint:R1206","LCSC","C3017010","VO","SCR1206F8K06","C1206","8.06kΩ","250mW","±1%","574400","https://datasheet.lcsc.com/lcsc/2206021145_VO-SCR1206F8K06_C3017010.pdf"
"C104604","250mW Thick Film Resistors 150V ±100ppm/℃ ±5% 1MΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","1M","symbol:R0402","footprint:R1206","LCSC","C104604","RALEC","RTT06105JTP","C1206","1MΩ","250mW","±5%","505800","https://datasheet.lcsc.com/lcsc/2304140030_RALEC-RTT06105JTP_C104604.pdf"
"C19290","250mW Thick Film Resistors 200V ±5% 0Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","0R","symbol:R0402","footprint:R1206","LCSC","C19290","UNI-ROYAL(Uniroyal Elec)","1206W4J0000T5E","C1206","0Ω","250mW","±5%","504400","https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4J0000T5E_C19290.pdf"
"C108081","250mW Thick Film Resistors 200V ±5% 0Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","0R","symbol:R0402","footprint:R1206","LCSC","C108081","YAGEO","RC1206JR-070RL","C1206","0Ω","250mW","±5%","499998","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC1206JR-070RL_C108081.pdf"
"C132649","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 10kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R1206","LCSC","C132649","YAGEO","RC1206FR-0710KL","C1206","10kΩ","250mW","±1%","456994","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC1206FR-0710KL_C132649.pdf"
"C25386","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 510Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","510R","symbol:R0402","footprint:R1206","LCSC","C25386","UNI-ROYAL(Uniroyal Elec)","1206W4J0511T5E","C1206","510Ω","250mW","±5%","428900","https://datasheet.lcsc.com/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-1206W4J0511T5E_C25386.pdf"
"C17927","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 1MΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","1M","symbol:R0402","footprint:R1206","LCSC","C17927","UNI-ROYAL(Uniroyal Elec)","1206W4F1004T5E","C1206","1MΩ","250mW","±1%","396200","https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1004T5E_C17927.pdf"
"C3017278","250mW Thick Film Resistors 200V ±1% 3.65kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","3K65","symbol:R0402","footprint:R1206","LCSC","C3017278","VO","SCR1206F3K65","C1206","3.65kΩ","250mW","±1%","377900","https://datasheet.lcsc.com/lcsc/2206021145_VO-SCR1206F3K65_C3017278.pdf"
"C17900","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 100kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","100K","symbol:R0402","footprint:R1206","LCSC","C17900","UNI-ROYAL(Uniroyal Elec)","1206W4F1003T5E","C1206","100kΩ","250mW","±1%","322500","https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1003T5E_C17900.pdf"
"C25373","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 30Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","30R","symbol:R0402","footprint:R1206","LCSC","C25373","UNI-ROYAL(Uniroyal Elec)","1206W4J0300T5E","C1206","30Ω","250mW","±5%","320200","https://datasheet.lcsc.com/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-1206W4J0300T5E_C25373.pdf"
"C3017007","250mW Thick Film Resistors 200V ±1% 6.2kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","6K2","symbol:R0402","footprint:R1206","LCSC","C3017007","VO","SCR1206F6K2","C1206","6.2kΩ","250mW","±1%","320400","https://datasheet.lcsc.com/lcsc/2206021145_VO-SCR1206F6K2_C3017007.pdf"
